Country/Region,unit,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Syria,%,false,7.55,1.85,0.77,5.34,6.17,4.52,0.60,4.34,-1.30,0.01,0.67,0.79,0.44,2.95,13.72,4.31,3.82,1.11,-5.17,-0.51,-6.73,-15.33,-26.12,-12.91,-9.75,2.80,5.82
Niger,%,false,2.71,2.78,3.54,2.66,3.01,3.60,2.54,4.21,2.61,3.41,-14.25,3.67,4.01,3.71,3.71,3.77,4.61,4.52,4.70,0.51,5.24,7.56,5.25,6.04,4.61,4.24,4.05
North Korea,%,false,-4.53,-8.95,-6.57,-7.02,-6.13,-10.07,-7.65,-8.73,4.37,3.55,-1.61,-3.04,1.43,1.83,2.92,2.18,-12.57,9.30,-17.21,-3.95,-16.75,2.59,-16.34,7.53,-10.93,9.62,-13.11
Somalia,%,false,-6.74,-4.85,5.31,4.95,1.63,1.12,0.98,-0.29,0.23,0.46,1.35,0.99,0.59,0.76,1.07,-2.70,-2.39,0.16,0.16,0.57,0.41,0.71,0.32,0.35,0.14,-0.10,-0.34
Switzerland,%,false,4.31,-0.16,-4.62,-1.72,1.86,1.17,-2.83,3.07,0.23,-1.54,1.47,-3.24,2.38,0.87,1.34,-0.56,-3.72,3.18,-2.84,3.11,-7.60,2.57,2.08,-7.58,-1.66,1.01,-2.17
Mali,%,false,-0.22,0.33,1.23,1.41,1.87,2.42,5.13,22.05,5.13,-3.05,-11.06,1.24,3.50,9.87,3.73,1.21,3.47,5.16,0.82,7.36,3.02,2.07,3.55,1.64,4.20,11.95,2.67
Madagascar,%,false,0.18,0.60,0.81,-0.07,0.77,1.14,-1.02,2.14,-0.48,-2.19,-13.83,-4.56,5.51,-2.08,8.72,-2.88,2.60,-2.68,1.81,1.04,-22.89,1.94,-2.47,0.25,2.55,1.69,-3.04
Guinea,%,false,1.53,1.57,1.68,1.90,1.82,-2.36,1.96,6.48,-1.78,1.85,4.05,4.67,0.88,0.14,5.57,1.20,1.33,2.13,1.61,7.59,4.87,4.45,0.68,1.98,2.17,10.41,0.35
Slovakia,%,false,-13.97,-5.15,-5.73,-6.12,1.41,0.10,-0.46,-2.83,-3.58,-6.58,4.53,-1.46,0.77,-1.71,2.36,-1.22,-2.58,-0.35,-9.91,4.80,-2.01,-6.79,2.04,-8.20,1.42,24.40,5.06
Cuba,%,false,-20.29,-17.04,-13.11,5.28,6.67,10.99,7.80,-1.54,1.02,0.99,-1.50,-4.00,-2.33,-1.46,0.64,2.89,3.28,-1.66,4.31,8.98,-9.70,0.58,-3.95,-1.10,0.26,33.56,-7.38
Guatemala,%,false,1.62,4.37,2.49,1.02,3.48,1.50,1.41,11.52,-3.48,6.89,-8.51,2.86,4.62,-2.67,5.78,-1.65,4.21,-3.29,4.14,-0.57,-13.44,1.99,3.51,2.83,7.93,-7.52,-2.04
Nicaragua,%,false,-4.59,3.22,2.30,1.06,-2.03,0.09,2.85,3.18,1.85,1.78,12.69,1.28,3.15,-1.36,1.29,0.41,0.45,-0.30,0.26,0.99,-29.58,1.28,0.98,3.25,3.14,29.47,-0.48
Laos,%,false,-0.67,1.20,-0.16,1.50,-0.04,1.28,-1.92,8.10,-6.18,-2.69,2.34,5.15,2.61,18.84,-10.19,-3.82,20.90,-15.77,6.00,14.64,-24.81,8.83,4.32,2.03,17.43,27.73,3.65
Dominican Republic,%,false,13.37,15.39,4.64,16.91,3.73,6.42,11.06,11.14,3.43,3.91,30.04,9.09,-8.09,-2.80,5.06,7.04,4.14,0.59,-1.64,4.48,3.61,2.40,-0.68,0.73,7.18,2.42,-2.16
